date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:10	257/257	---MCZ	200	added ('OK')	text/plain	date:Sun,%2022%20Jan%202017%2015:36:10%20GMT	https://www.jilliaforwardone.com/robots.txt		(from )
15:36:12	58677/58677	---M-Z	200	added ('OK')	text/html	etag:W/%2263a020157da83cdb310136fec67636e4%22	https://www.jilliaforwardone.com/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/index.html	(from )
15:36:12	1414/1414	---M--	200	added ('OK')	image/png	etag:W/%22cbefe4eb1add4b81b421de6f4a9d02b4%22	https://www.jilliaforwardone.com/favicon.ico	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/favicon.png	(from https://www.jilliaforwardone.com/)
15:36:13	725/725	---M--	200	added ('OK')	application/rss+xml	etag:W/%22b65fd1205a18c373faf3f1eed9ab88c8%22	https://www.jilliaforwardone.com/info?format=RSS	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/infocecb	(from https://www.jilliaforwardone.com/)
15:36:18	49399/49399	---MCZ	200	added ('OK')	text/html	etag:W/%2242d0a84dd004ee1cbd80d62615ec99ab-gzip%22	https://www.jilliaforwardone.com/meet-jillia	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/meet-jillia.html	(from https://www.jilliaforwardone.com/)
15:36:19	49399/49399	---MCZ	200	added ('OK')	text/html	etag:W/%22b7e844184be334900eda0a13b3fa2953-gzip%22	https://www.jilliaforwardone.com/meet-jillia/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/meet-jillia/index.html	(from https://www.jilliaforwardone.com/)
15:36:19	47627/47627	---MCZ	200	added ('OK')	text/html	etag:W/%22eae80673a481202c3eeea09969163c63-gzip%22	https://www.jilliaforwardone.com/why-jillia/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/why-jillia/index.html	(from https://www.jilliaforwardone.com/)
15:36:19	49740/49740	---MCZ	200	added ('OK')	text/html	etag:W/%226f29111c3f3fbdf1ce326c96c34296ac-gzip%22	https://www.jilliaforwardone.com/vision/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/vision/index.html	(from https://www.jilliaforwardone.com/)
15:36:25	51523/51523	---MCZ	200	added ('OK')	text/html	etag:W/%22f47b19053db1626cee4a14411ce88c6e-gzip%22	https://www.jilliaforwardone.com/media/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/media/index.html	(from https://www.jilliaforwardone.com/)
15:36:27	63425/63425	---MCZ	200	added ('OK')	text/html	etag:W/%22f19392a10810636bf847e414923f6903-gzip%22	https://www.jilliaforwardone.com/blog/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/index.html	(from https://www.jilliaforwardone.com/)
15:36:27	59946/59946	---MC-	200	added ('OK')	image/svg+xml	etag:%22c68cc01b7e5bd1277ff6bc364434e093%22	https://www.jilliaforwardone.com/universal/svg/social-accounts.svg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/universal/svg/social-accounts.svg	(from https://www.jilliaforwardone.com/)
15:36:27	49425/49425	---MCZ	200	added ('OK')	text/html	etag:W/%22a3a520606e718c7003920c7ce489cd81-gzip%22	https://www.jilliaforwardone.com/meetjillia-espanol/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/meetjillia-espanol/index.html	(from https://www.jilliaforwardone.com/)
15:36:29	61587/61587	---MCZ	200	added ('OK')	text/html	etag:W/%2242b405d04df4c9b302fb01ad8b6fa71a-gzip%22	https://www.jilliaforwardone.com/in-the-news/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/in-the-news/index.html	(from https://www.jilliaforwardone.com/)
15:36:29	47627/47627	---MCZ	200	added ('OK')	text/html	etag:W/%22d98137714e4bf4c63e10e76726327229-gzip%22	https://www.jilliaforwardone.com/why-jillia	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/why-jillia.html	(from https://www.jilliaforwardone.com/meet-jillia/)
15:36:29	45825/45825	---MCZ	200	added ('OK')	text/html	etag:W/%22bb9eb931bb75323374dfe991e7eb4bda-gzip%22	https://www.jilliaforwardone.com/por-qu-jillia/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/por-qu-jillia/index.html	(from https://www.jilliaforwardone.com/)
15:36:29	45540/45540	---MCZ	200	added ('OK')	text/html	etag:W/%22b1f35bde5d6f76ec03fbec9d1d43ae2e-gzip%22	https://www.jilliaforwardone.com/contact/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/contact/index.html	(from https://www.jilliaforwardone.com/)
15:36:30	49740/49740	---MCZ	200	added ('OK')	text/html	etag:W/%22527328a07b88bf6ee352700fe52d9c03-gzip%22	https://www.jilliaforwardone.com/vision	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/vision.html	(from https://www.jilliaforwardone.com/why-jillia/)
15:36:31	10429/10429	---M--	200	added ('OK')	application/rss+xml	etag:W/%2216f3bcae1558519fea267caafb352220%22	https://www.jilliaforwardone.com/blog?format=RSS	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blogcecb	(from https://www.jilliaforwardone.com/blog/)
15:36:32	53182/53182	---MCZ	200	added ('OK')	text/html	etag:W/%223221b1dde293924e0eb12b3fda0d4803-gzip%22	https://www.jilliaforwardone.com/blog/2016/12/29/join-me-next-thursday-for-our-campaign-kickoff-event	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/2016/12/29/join-me-next-thursday-for-our-campaign-kickoff-event.html	(from https://www.jilliaforwardone.com/blog/)
15:36:32	49405/49405	---MCZ	200	added ('OK')	text/html	etag:W/%22e3a4324af5d7ed04c816c9ac8d7eb894-gzip%22	https://www.jilliaforwardone.com/blog/?author=569a573905f8e2b24d9e72e3	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/indexecf7.html	(from https://www.jilliaforwardone.com/blog/)
15:36:32	56373/56373	---MCZ	200	added ('OK')	text/html	etag:W/%22da64482caf4b6b0b3776cf337386b038-gzip%22	https://www.jilliaforwardone.com/blog/2016/12/19/get-ready-to-ring-in-the-new-year	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/2016/12/19/get-ready-to-ring-in-the-new-year.html	(from https://www.jilliaforwardone.com/blog/)
15:36:32	57242/57242	---MCZ	200	added ('OK')	text/html	etag:W/%220e5781b2338d9e8c774796b59eeafb4e-gzip%22	https://www.jilliaforwardone.com/blog/?author=583cea0746c3c4065471a7d7	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/index3e91.html	(from https://www.jilliaforwardone.com/blog/)
15:36:33	56670/56670	---MCZ	200	added ('OK')	text/html	etag:W/%22e406b70e31fcbed8d70ff204751bd80a-gzip%22	https://www.jilliaforwardone.com/blog/announcement	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/announcement.html	(from https://www.jilliaforwardone.com/blog/)
15:36:35	2260/2260	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2015:36:33%20GMT	https://www.jilliaforwardone.com/in-the-news/%22http://www.tcdailyplanet.net/seven-candidates-could-shift-the-balance-of-power-on-the-minneapolis-city-council/%22>Twin	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/in-the-news/_http_/www.tcdailyplanet.net/seven-candidates-could-shift-the-balance-of-pow/__Twin.html	(from https://www.jilliaforwardone.com/in-the-news/)
15:36:35	50657/50657	---MCZ	200	added ('OK')	text/html	etag:W/%22172143541fea9c5265c7c0630d049127-gzip%22	https://www.jilliaforwardone.com/blog/?tag=jillia	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/index07bc.html	(from https://www.jilliaforwardone.com/blog/)
15:36:35	50666/50666	---MCZ	200	added ('OK')	text/html	etag:W/%22eb916febea28511a5684eb31406123fb-gzip%22	https://www.jilliaforwardone.com/blog/?category=Blog+Posts	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/indexaba0.html	(from https://www.jilliaforwardone.com/blog/)
15:36:35	50663/50663	---MCZ	200	added ('OK')	text/html	etag:W/%22100b897137a5f9ddd1f9df7c1c041424-gzip%22	https://www.jilliaforwardone.com/blog/?tag=announcement	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/indexbb73.html	(from https://www.jilliaforwardone.com/blog/)
15:36:37	2260/2260	---MC-	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2015:36:36%20GMT	https://www.jilliaforwardone.com/in-the-news/%22http://www.mynortheaster.com/wp-content/news-archives/161214Northeaster/%22>Northeaster</a></p>%22	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/in-the-news/_http_/www.mynortheaster.com/wp-content/news-archives/161214Northeaster/__Northeaster_/a__/p__.html	(from https://www.jilliaforwardone.com/in-the-news/)
15:36:37	50663/50663	---MCZ	200	added ('OK')	text/html	etag:W/%2284b1c9ad99146a8552bd639b2414c965-gzip%22	https://www.jilliaforwardone.com/blog/?tag=city+council	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/index51b4.html	(from https://www.jilliaforwardone.com/blog/)
15:36:37	49098/49098	---MCZ	200	added ('OK')	text/html	etag:W/%22cf96836ee0323bda7f824f1f527cc16d-gzip%22	https://www.jilliaforwardone.com/in-the-news-1/?author=571ed59507eaa0de4fd64491	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/in-the-news-1/indexb0a6.html	(from https://www.jilliaforwardone.com/in-the-news/)
15:36:37	50657/50657	---MCZ	200	added ('OK')	text/html	etag:W/%22aa8549c5740cf8bb0a857214a5978940-gzip%22	https://www.jilliaforwardone.com/blog/?tag=ward+1	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-PESSENDA-jilliaforwardone.com/www.jilliaforwardone.com/blog/index9767.html	(from https://www.jilliaforwardone.com/blog/)
