date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:39	129/129	U-----	200	untouched ('OK')	text/html	etag:%2281-4d80dea146e91%22	http://www.kevinreich.com/	www.kevinreich.com/index.html	(from )
00:50:40	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2025%20Jan%202017%2000:50:39%20GMT	http://www.kevinreich.com/pages	www.kevinreich.com/pages	(from http://www.kevinreich.com/)
00:50:40	14586/14586	U--M--	200	updated ('OK')	text/html	date:Wed,%2025%20Jan%202017%2000:50:40%20GMT	http://www.kevinreich.com/pages/	www.kevinreich.com/pages/index.html	(from http://www.kevinreich.com/pages)
00:50:40	57663/57663	U-----	200	untouched ('OK')	text/css	etag:%22e13f-4d7e678a17419%22	http://www.kevinreich.com/pages/wp-content/themes/twentyeleven/style.css	www.kevinreich.com/pages/wp-content/themes/twentyeleven/style.css	(from http://www.kevinreich.com/pages/)
00:50:41	42/42	U--M--	200	updated ('OK')	text/plain	date:Wed,%2025%20Jan%202017%2000:50:41%20GMT	http://www.kevinreich.com/pages/xmlrpc.php	www.kevinreich.com/pages/xmlrpc.php	(from http://www.kevinreich.com/pages/)
00:50:41	870/870	---M--	404	error ('Not%20Found')	text/xml	etag:%2263858c942c936522bb30aa76cfe2ec01%22	http://www.kevinreich.com/pages/feed/	www.kevinreich.com/pages/feed/index.html	(from http://www.kevinreich.com/pages/)
00:50:41	23044/23044	U-----	200	untouched ('OK')	text/css	etag:%225a04-4d770ada177b6%22	http://www.kevinreich.com/pages/wp-content/plugins/mailchimp//css/flick/flick.css?ver=3.5.1	www.kevinreich.com/pages/wp-content/plugins/mailchimp/css/flick/flick9d52.css	(from http://www.kevinreich.com/pages/)
00:50:41	879/879	---M--	404	error ('Not%20Found')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.kevinreich.com/pages/comments/feed/	www.kevinreich.com/pages/comments/feed/index.html	(from http://www.kevinreich.com/pages/)
00:50:41	93658/93658	U-----	200	untouched ('OK')	application/x-javascript	etag:%2216dda-4ce7f607fcf80%22	http://www.kevinreich.com/pages/wp-includes/js/jquery/jquery.js?ver=1.8.3	www.kevinreich.com/pages/wp-includes/js/jquery/jquery4511.js	(from http://www.kevinreich.com/pages/)
00:50:41	1127/1127	U--M--	200	updated ('OK')	text/css	date:Wed,%2025%20Jan%202017%2000:50:41%20GMT	http://www.kevinreich.com/pages/?mcsf_action=main_css&ver=3.5.1	www.kevinreich.com/pages/index91b6.html	(from http://www.kevinreich.com/pages/)
00:50:41	11116/11116	U-----	200	untouched ('OK')	application/x-javascript	etag:%222b6c-4c7e399c26480%22	http://www.kevinreich.com/pages/wp-includes/js/jquery/jquery.form.min.js?ver=2.73	www.kevinreich.com/pages/wp-includes/js/jquery/jquery.form.min1b5e.js	(from http://www.kevinreich.com/pages/)
00:50:41	2262/2262	U-----	200	untouched ('OK')	application/x-javascript	etag:%228d6-4d770ada66c23%22	http://www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/scrollTo.js?ver=1.2.13	www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/scrollTo58c4.js	(from http://www.kevinreich.com/pages/)
00:50:42	4693/4693	U-----	200	untouched ('OK')	application/x-javascript	etag:%221255-4cf5bbdcaca00%22	http://www.kevinreich.com/pages/wp-includes/js/jquery/ui/jquery.ui.core.min.js?ver=1.9.2	www.kevinreich.com/pages/wp-includes/js/jquery/ui/jquery.ui.core.min2c00.js	(from http://www.kevinreich.com/pages/)
00:50:42	994/994	U-----	200	untouched ('OK')	application/x-javascript	etag:%223e2-4d770ada27b17%22	http://www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/mailchimp.js?ver=1.2.13	www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/mailchimp58c4.js	(from http://www.kevinreich.com/pages/)
00:50:42	75876/75876	U-----	200	untouched ('OK')	application/x-javascript	etag:%2212864-4d770ada65afb%22	http://www.kevinreich.com/pages/wp-content/plugins/mailchimp//js/datepicker.js?ver=3.5.1	www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/datepicker9d52.js	(from http://www.kevinreich.com/pages/)
00:50:42	1052/1052	U-----	200	untouched ('')	application/xml	etag:%2241c-4b6073a9963c0%22	http://www.kevinreich.com/pages/wp-includes/wlwmanifest.xml	www.kevinreich.com/pages/wp-includes/wlwmanifest.xml	(from http://www.kevinreich.com/pages/)
00:50:42	773/773	U--M--	200	updated ('OK')	text/xml	date:Wed,%2025%20Jan%202017%2000:50:42%20GMT	http://www.kevinreich.com/pages/xmlrpc.php?rsd	www.kevinreich.com/pages/xmlrpc0db0.php	(from http://www.kevinreich.com/pages/)
00:50:42	77452/77452	U-----	200	untouched ('')	image/jpeg	etag:%2212e8c-4d7589cb600c0%22	http://www.kevinreich.com/pages/wp-content/uploads/2013/03/web_header1b.jpg	www.kevinreich.com/pages/wp-content/uploads/2013/03/web_header1b.jpg	(from http://www.kevinreich.com/pages/)
00:50:42	15237/15237	U--M--	200	updated ('OK')	text/html	date:Wed,%2025%20Jan%202017%2000:50:42%20GMT	http://www.kevinreich.com/pages/encouraging-entrepreneurs/	www.kevinreich.com/pages/encouraging-entrepreneurs/index.html	(from http://www.kevinreich.com/pages/)
