date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:57	129/129	---M--	200	added ('OK')	text/html	etag:%2281-4d80dea146e91%22	http://www.kevinreich.com/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/index.html	(from )
16:04:57	240/240	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Jan%202017%2016:04:57%20GMT	http://www.kevinreich.com/pages	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages	(from http://www.kevinreich.com/)
16:04:58	14586/14586	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:04:58%20GMT	http://www.kevinreich.com/pages/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/index.html	(from http://www.kevinreich.com/)
16:04:59	57663/57663	---M--	200	added ('OK')	text/css	etag:%22e13f-4d7e678a17419%22	http://www.kevinreich.com/pages/wp-content/themes/twentyeleven/style.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/wp-content/themes/twentyeleven/style.css	(from http://www.kevinreich.com/pages/)
16:04:59	42/42	---M--	200	added ('OK')	text/plain	date:Sun,%2022%20Jan%202017%2016:04:59%20GMT	http://www.kevinreich.com/pages/xmlrpc.php	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/xmlrpc.php	(from http://www.kevinreich.com/pages/)
16:05:00	23044/23044	---M--	200	added ('OK')	text/css	etag:%225a04-4d770ada177b6%22	http://www.kevinreich.com/pages/wp-content/plugins/mailchimp//css/flick/flick.css?ver=3.5.1	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/wp-content/plugins/mailchimp/css/flick/flick9d52.css	(from http://www.kevinreich.com/pages/)
16:05:00	93658/93658	---M--	200	added ('OK')	application/x-javascript	etag:%2216dda-4ce7f607fcf80%22	http://www.kevinreich.com/pages/wp-includes/js/jquery/jquery.js?ver=1.8.3	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/wp-includes/js/jquery/jquery4511.js	(from http://www.kevinreich.com/pages/)
16:05:02	870/870	---M--	404	error ('Not%20Found')	text/xml	etag:%2263858c942c936522bb30aa76cfe2ec01%22	http://www.kevinreich.com/pages/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/feed/index.html	(from http://www.kevinreich.com/pages/)
16:05:02	1127/1127	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Jan%202017%2016:05:01%20GMT	http://www.kevinreich.com/pages/?mcsf_action=main_css&ver=3.5.1	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/index91b6.html	(from http://www.kevinreich.com/pages/)
16:05:02	879/879	---M--	404	error ('Not%20Found')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.kevinreich.com/pages/comments/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/comments/feed/index.html	(from http://www.kevinreich.com/pages/)
16:05:02	2262/2262	---M--	200	added ('OK')	application/x-javascript	etag:%228d6-4d770ada66c23%22	http://www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/scrollTo.js?ver=1.2.13	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W01-REICH-kevinreich.com/www.kevinreich.com/pages/wp-content/plugins/mailchimp/js/scrollTo58c4.js	(from http://www.kevinreich.com/pages/)
