date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:13:32	51480/51480	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2005:13:32%20GMT	https://adams4ward3.org/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/index.html	(from )
05:13:32	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2026%20Jan%202017%2005:13:32%20GMT	https://adams4ward3.org/xmlrpc.php	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/xmlrpc.php	(from https://adams4ward3.org/)
05:13:33	42750/42750	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Jan%202017%2005:13:33%20GMT	https://adams4ward3.org/wordpress_test_cookie=test;%20path=/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/wordpress_test_cookie=test;%20path=/index.html	(from https://adams4ward3.org/)
05:13:33	1337/1337	---MCZ	200	added ('OK')	application/xml	date:Thu,%2026%20Jan%202017%2005:13:33%20GMT	https://adams4ward3.org/osd.xml	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/osd.xml	(from https://adams4ward3.org/)
05:13:33	1426/1426	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2026%20Jan%202017%2005:13:33%20GMT	https://adams4ward3.org/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/feed/index.html	(from https://adams4ward3.org/)
05:13:35	421/421	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2026%20Jan%202017%2005:13:34%20GMT	https://adams4ward3.org/wp-content/plugins/ie-sitemode/custom-jumplist.php	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://adams4ward3.org/)
05:13:36	56214/56214	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2005:13:34%20GMT	https://adams4ward3.org/issues/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/issues/index.html	(from https://adams4ward3.org/)
05:13:37	51060/51060	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2005:13:34%20GMT	https://adams4ward3.org/about/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/about/index.html	(from https://adams4ward3.org/)
05:13:38	44643/44643	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2005:13:35%20GMT	https://adams4ward3.org/blog/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/blog/index.html	(from https://adams4ward3.org/)
05:13:38	46596/46596	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2005:13:37%20GMT	https://adams4ward3.org/contact/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/contact/index.html	(from https://adams4ward3.org/)
05:13:38	58254/58254	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2005:13:38%20GMT	https://adams4ward3.org/2017/01/07/first-blog-post/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-ADAMS-adams4ward3.org/adams4ward3.org/2017/01/07/first-blog-post/index.html	(from https://adams4ward3.org/)
