date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:39	33030/33030	---M--	200	added ('OK')	text/html	etag:%228106-5466045e3ab70%22	http://stevefletcher.org/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/index.html	(from )
16:07:40	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-545edadb97422%22	http://stevefletcher.org/images/favicon.ico	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/images/favicon.ico	(from http://stevefletcher.org/)
16:07:41	122363/122363	---M-Z	200	added ('OK')	text/css	etag:%221ddfb-545edad9968d2-gzip%22	http://stevefletcher.org/css/bootstrap.min.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/bootstrap.min.css	(from http://stevefletcher.org/)
16:07:41	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%225cbb-545edad9a283b-gzip%22	http://stevefletcher.org/css/font-awesome.min.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/font-awesome.min.css	(from http://stevefletcher.org/)
16:07:41	55522/55522	---M-Z	200	added ('OK')	text/css	etag:%22d8e2-545edad987e71-gzip%22	http://stevefletcher.org/css/animate.min.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/animate.min.css	(from http://stevefletcher.org/)
16:07:41	52/52	---M--	200	added ('OK')	text/css	etag:%2234-545edad9acc4c%22	http://stevefletcher.org/css/morphext.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/morphext.css	(from http://stevefletcher.org/)
16:07:41	1480/1480	---M-Z	200	added ('OK')	text/css	etag:%225c8-545edad9b58ed-gzip%22	http://stevefletcher.org/css/owl.carousel.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/owl.carousel.css	(from http://stevefletcher.org/)
16:07:42	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-545edad99e9bb-gzip%22	http://stevefletcher.org/css/magnific-popup.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/magnific-popup.css	(from http://stevefletcher.org/)
16:07:42	6866/6866	---M-Z	200	added ('OK')	text/css	etag:%221ad2-545edad994d7a-gzip%22	http://stevefletcher.org/css/flexslider.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/flexslider.css	(from http://stevefletcher.org/)
16:07:42	155881/155881	---M-Z	200	added ('OK')	text/css	etag:%22260e9-545edad9d7400-gzip%22	http://stevefletcher.org/css/main.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/main.css	(from http://stevefletcher.org/)
16:07:42	15347/15347	---M-Z	200	added ('OK')	text/css	etag:%223bf3-545edad994d7a-gzip%22	http://stevefletcher.org/css/custom.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/custom.css	(from http://stevefletcher.org/)
16:07:42	12486/12486	---M-Z	200	added ('OK')	text/css	etag:%2230c6-545edad9be58e-gzip%22	http://stevefletcher.org/css/multipage-style.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/css/multipage-style.css	(from http://stevefletcher.org/)
16:07:43	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:07:43%20GMT	http://stevefletcher.org/demo-multipage-index.html	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/demo-multipage-index.html	(from http://stevefletcher.org/)
16:07:44	33030/33030	---M--	200	added ('OK')	text/html	etag:%228106-5466045e3ab70%22	http://stevefletcher.org/index.html	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/index-2.html	(from http://stevefletcher.org/)
16:08:27	266611/266611	---M--	200	added ('OK')	image/jpeg	etag:%2241173-545edadc00bac%22	http://stevefletcher.org/images/bio-image.jpg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/images/bio-image.jpg	(from http://stevefletcher.org/)
16:08:51	412724/412724	---M--	200	added ('OK')	image/jpeg	etag:%2264c34-545edadc101c5%22	http://stevefletcher.org/images/heather.jpg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/images/heather.jpg	(from http://stevefletcher.org/)
16:08:57	97362/97362	---M-Z	200	added ('OK')	application/javascript	etag:%2217c52-545edade82970-gzip%22	http://stevefletcher.org/js/jquery.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.min.js	(from http://stevefletcher.org/)
16:08:58	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:%221c1f-545edade31c71-gzip%22	http://stevefletcher.org/js/jquery-migrate.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery-migrate.min.js	(from http://stevefletcher.org/)
16:09:00	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228fd0-545edaddf0d5a-gzip%22	http://stevefletcher.org/js/bootstrap.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/bootstrap.min.js	(from http://stevefletcher.org/)
16:09:00	5723/5723	---M-Z	200	added ('OK')	application/javascript	etag:%22165b-545edade51073-gzip%22	http://stevefletcher.org/js/jquery.singlePageNav.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.singlePageNav.js	(from http://stevefletcher.org/)
16:09:01	3073/3073	---M-Z	200	added ('OK')	application/javascript	etag:%22c01-545edade621e5-gzip%22	http://stevefletcher.org/js/modernizr.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/modernizr.min.js	(from http://stevefletcher.org/)
16:09:02	34695/34695	---M-Z	200	added ('OK')	application/javascript	etag:%228787-545edade1e7d7-gzip%22	http://stevefletcher.org/js/isotope.pkgd.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/isotope.pkgd.min.js	(from http://stevefletcher.org/)
16:09:03	1506/1506	---M-Z	200	added ('OK')	application/javascript	etag:%225e2-545edade43d82-gzip%22	http://stevefletcher.org/js/jquery.isotope.init.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.isotope.init.js	(from http://stevefletcher.org/)
16:09:03	6949/6949	---M-Z	200	added ('OK')	application/javascript	etag:%221b25-545edaddfc10c-gzip%22	http://stevefletcher.org/js/imagesloaded.pkgd.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/imagesloaded.pkgd.min.js	(from http://stevefletcher.org/)
16:09:05	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-545edade4ed4b-gzip%22	http://stevefletcher.org/js/jquery.magnific-popup.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.magnific-popup.min.js	(from http://stevefletcher.org/)
16:09:05	3221/3221	---M-Z	200	added ('OK')	application/javascript	etag:%22c95-545edade3ff02-gzip%22	http://stevefletcher.org/js/jquery.fitvids.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.fitvids.js	(from http://stevefletcher.org/)
16:09:07	23890/23890	---M-Z	200	added ('OK')	application/javascript	etag:%225d52-545edade73357-gzip%22	http://stevefletcher.org/js/owl.carousel.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/owl.carousel.min.js	(from http://stevefletcher.org/)
16:09:07	1973/1973	---M-Z	200	added ('OK')	application/javascript	etag:%227b5-545edadd8a0c9-gzip%22	http://stevefletcher.org/js/classie.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/classie.js	(from http://stevefletcher.org/)
16:09:07	4474/4474	---M-Z	200	added ('OK')	application/javascript	etag:%22117a-545edade7db50-gzip%22	http://stevefletcher.org/js/superfish.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/superfish.min.js	(from http://stevefletcher.org/)
16:09:08	3364/3364	---M-Z	200	added ('OK')	application/javascript	etag:%22d24-545edade78d2f-gzip%22	http://stevefletcher.org/js/supersubs.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/supersubs.js	(from http://stevefletcher.org/)
16:09:08	3761/3761	---M-Z	200	added ('OK')	application/javascript	etag:%22eb1-545edade260ef-gzip%22	http://stevefletcher.org/js/jquery.countTo.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.countTo.js	(from http://stevefletcher.org/)
16:09:10	22343/22343	---M-Z	200	added ('OK')	application/javascript	etag:%225747-545edade48ba3-gzip%22	http://stevefletcher.org/js/jquery.flexslider-min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/jquery.flexslider-min.js	(from http://stevefletcher.org/)
16:09:10	8044/8044	---M-Z	200	added ('OK')	application/javascript	etag:%221f6c-545edade7df38-gzip%22	http://stevefletcher.org/js/waypoints.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/waypoints.min.js	(from http://stevefletcher.org/)
16:09:11	8182/8182	---M-Z	200	added ('OK')	application/javascript	etag:%221ff6-545edade9e6c3-gzip%22	http://stevefletcher.org/js/wow.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/wow.min.js	(from http://stevefletcher.org/)
16:09:11	1014/1014	---M-Z	200	added ('OK')	application/javascript	etag:%223f6-545edade621e5-gzip%22	http://stevefletcher.org/js/morphext.min.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/morphext.min.js	(from http://stevefletcher.org/)
16:09:12	5417/5417	---M-Z	200	added ('OK')	application/javascript	etag:%221529-545edade76237-gzip%22	http://stevefletcher.org/js/script.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/script.js	(from http://stevefletcher.org/)
16:09:13	26255/26255	---M-Z	200	added ('OK')	application/javascript	etag:%22668f-545edade191e6-gzip%22	http://stevefletcher.org/js/custom.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/js/custom.js	(from http://stevefletcher.org/)
16:09:13	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:09:13%20GMT	http://stevefletcher.org/fonts/glyphicons-halflings-regular.eot	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/glyphicons-halflings-regular.eot	(from http://stevefletcher.org/css/bootstrap.min.css)
16:09:14	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:09:14%20GMT	http://stevefletcher.org/fonts/glyphicons-halflings-regular.eot?	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/glyphicons-halflings-regulard41d.eot	(from http://stevefletcher.org/css/bootstrap.min.css)
16:09:14	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:09:14%20GMT	http://stevefletcher.org/fonts/glyphicons-halflings-regular.woff2	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/glyphicons-halflings-regular.woff2	(from http://stevefletcher.org/css/bootstrap.min.css)
16:09:14	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:09:14%20GMT	http://stevefletcher.org/fonts/glyphicons-halflings-regular.woff	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/glyphicons-halflings-regular.woff	(from http://stevefletcher.org/css/bootstrap.min.css)
16:09:14	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:09:14%20GMT	http://stevefletcher.org/fonts/glyphicons-halflings-regular.ttf	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/glyphicons-halflings-regular.ttf	(from http://stevefletcher.org/css/bootstrap.min.css)
16:09:15	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2016:09:14%20GMT	http://stevefletcher.org/fonts/glyphicons-halflings-regular.svg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/glyphicons-halflings-regular.svg	(from http://stevefletcher.org/css/bootstrap.min.css)
16:09:25	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-545edada39e29-gzip%22	http://stevefletcher.org/fonts/fontawesome-webfont.eot?v=4.3.0	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/fontawesome-webfonte0a5.eot	(from http://stevefletcher.org/css/font-awesome.min.css)
16:09:28	383196/383196	---M--	200	added ('OK')	image/jpeg	etag:%225d8dc-545edadd489e3%22	http://stevefletcher.org/images/wage.jpg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/images/wage.jpg	(from http://stevefletcher.org/)
16:09:29	56780/56780	---M--	200	added ('OK')	text/html	etag:%22ddcc-545edada747af%22	http://stevefletcher.org/fonts/fontawesome-webfont.woff2?v=4.3.0	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/fontawesome-webfonte0a5.html	(from http://stevefletcher.org/css/font-awesome.min.css)
16:09:36	60767/60767	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ed5f-545edada39e29-gzip%22	http://stevefletcher.org/fonts/fontawesome-webfont.eot?	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/fontawesome-webfontd41d.eot	(from http://stevefletcher.org/css/font-awesome.min.css)
16:09:41	71508/71508	---M--	200	added ('OK')	application/x-font-woff	etag:%2211754-545edada5fba5%22	http://stevefletcher.org/fonts/fontawesome-webfont.woff?v=4.3.0	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W03-FLETCHER-stevefletcher.org/stevefletcher.org/fonts/fontawesome-webfonte0a5.woff	(from http://stevefletcher.org/css/font-awesome.min.css)
