date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:19	32996/32996	U--M--	200	updated ('OK')	text/html	etag:%2280e4-546c53623178e%22	http://stevefletcher.org/	stevefletcher.org/index.html	(from )
19:42:20	5430/5430	U-----	200	untouched ('')	image/x-icon	etag:%221536-545edadb97422%22	http://stevefletcher.org/images/favicon.ico	stevefletcher.org/images/favicon.ico	(from http://stevefletcher.org/)
19:42:20	122363/122363	U-----	200	untouched ('OK')	text/css	etag:%221ddfb-545edad9968d2-gzip%22	http://stevefletcher.org/css/bootstrap.min.css	stevefletcher.org/css/bootstrap.min.css	(from http://stevefletcher.org/)
19:42:20	55522/55522	U-----	200	untouched ('OK')	text/css	etag:%22d8e2-545edad987e71-gzip%22	http://stevefletcher.org/css/animate.min.css	stevefletcher.org/css/animate.min.css	(from http://stevefletcher.org/)
19:42:20	23739/23739	U-----	200	untouched ('OK')	text/css	etag:%225cbb-545edad9a283b-gzip%22	http://stevefletcher.org/css/font-awesome.min.css	stevefletcher.org/css/font-awesome.min.css	(from http://stevefletcher.org/)
19:42:20	52/52	U-----	200	untouched ('OK')	text/css	etag:%2234-545edad9acc4c%22	http://stevefletcher.org/css/morphext.css	stevefletcher.org/css/morphext.css	(from http://stevefletcher.org/)
19:42:20	6866/6866	U-----	200	untouched ('OK')	text/css	etag:%221ad2-545edad994d7a-gzip%22	http://stevefletcher.org/css/flexslider.css	stevefletcher.org/css/flexslider.css	(from http://stevefletcher.org/)
19:42:20	6951/6951	U-----	200	untouched ('OK')	text/css	etag:%221b27-545edad99e9bb-gzip%22	http://stevefletcher.org/css/magnific-popup.css	stevefletcher.org/css/magnific-popup.css	(from http://stevefletcher.org/)
19:42:20	1480/1480	U-----	200	untouched ('OK')	text/css	etag:%225c8-545edad9b58ed-gzip%22	http://stevefletcher.org/css/owl.carousel.css	stevefletcher.org/css/owl.carousel.css	(from http://stevefletcher.org/)
19:42:21	155881/155881	U-----	200	untouched ('OK')	text/css	etag:%22260e9-545edad9d7400-gzip%22	http://stevefletcher.org/css/main.css	stevefletcher.org/css/main.css	(from http://stevefletcher.org/)
19:42:21	1082567/1082567	U-----	200	untouched ('')	image/png	etag:%221084c7-545edaddd2510%22	http://stevefletcher.org/images/logo-white.png	stevefletcher.org/images/logo-white.png	(from http://stevefletcher.org/)
19:42:21	15347/15347	U-----	200	untouched ('OK')	text/css	etag:%223bf3-545edad994d7a-gzip%22	http://stevefletcher.org/css/custom.css	stevefletcher.org/css/custom.css	(from http://stevefletcher.org/)
19:42:21	12486/12486	U-----	200	untouched ('OK')	text/css	etag:%2230c6-545edad9be58e-gzip%22	http://stevefletcher.org/css/multipage-style.css	stevefletcher.org/css/multipage-style.css	(from http://stevefletcher.org/)
19:42:21	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jan%202017%2019:42:21%20GMT	http://stevefletcher.org/demo-multipage-index.html	stevefletcher.org/demo-multipage-index.html	(from http://stevefletcher.org/)
19:42:21	412724/412724	U-----	200	untouched ('')	image/jpeg	etag:%2264c34-545edadc101c5%22	http://stevefletcher.org/images/heather.jpg	stevefletcher.org/images/heather.jpg	(from http://stevefletcher.org/)
19:42:21	1083323/1083323	U-----	200	untouched ('')	image/png	etag:%221087bb-545edade38db9%22	http://stevefletcher.org/images/logo.png	stevefletcher.org/images/logo.png	(from http://stevefletcher.org/)
