date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:11	78433/78433	U--M-Z	200	updated ('OK')	text/html	etag:W/%2241223140cec2a36ac118bef8078bee7a%22	https://www.cunninghammpls.org/	www.cunninghammpls.org/index.html	(from )
19:45:12	280/280	U--M--	200	updated ('OK')	image/png	etag:W/%228dca4ef5f66b81fc3c79f5681646d0e1%22	https://www.cunninghammpls.org/favicon.ico	www.cunninghammpls.org/favicon.png	(from https://www.cunninghammpls.org/)
19:45:13	744/744	U--M--	200	updated ('OK')	application/rss+xml	etag:W/%229285c41b7f571b5e7f6c5ec891c02bee%22	https://www.cunninghammpls.org/home?format=RSS	www.cunninghammpls.org/homececb	(from https://www.cunninghammpls.org/)
19:45:13	4079/4079	U--M--	200	updated ('OK')	image/svg+xml	etag:W/%22e56b39753426e8cfb31996767ba6dc15%22	https://www.cunninghammpls.org/assets/ui-icons.svg	www.cunninghammpls.org/assets/ui-icons.svg	(from https://www.cunninghammpls.org/)
19:45:16	54671/54671	---M-Z	200	added ('OK')	text/html	etag:W/%2236398d6cbae3e6f13dc0e9e409773dcf%22	https://www.cunninghammpls.org/new-blog/	www.cunninghammpls.org/new-blog/index.html	(from https://www.cunninghammpls.org/)
19:45:17	50798/50798	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2024%20Jan%202017%2019:45:12%20GMT	https://www.cunninghammpls.org/search	www.cunninghammpls.org/search.html	(from https://www.cunninghammpls.org/)
19:45:19	56894/56894	U--MCZ	200	updated ('OK')	text/html	etag:W/%22b87dc1f006ef996aab7930e24e785294-gzip%22	https://www.cunninghammpls.org/meet-phillipe/	www.cunninghammpls.org/meet-phillipe/index.html	(from https://www.cunninghammpls.org/)
19:45:19	55724/55724	U--MCZ	200	updated ('OK')	text/html	etag:W/%22b1dc51c5da9dee8f31ce71727017b1d8-gzip%22	https://www.cunninghammpls.org/issues/	www.cunninghammpls.org/issues/index.html	(from https://www.cunninghammpls.org/)
19:45:22	60512/60512	U--MCZ	200	updated ('OK')	text/html	etag:W/%22dc82b0a6810e17a857b1636ec925187f-gzip%22	https://www.cunninghammpls.org/volunteer/	www.cunninghammpls.org/volunteer/index.html	(from https://www.cunninghammpls.org/)
19:45:23	56894/56894	U--MCZ	200	updated ('OK')	text/html	etag:W/%224dc74d16068c00301e0308c725408b4b-gzip%22	https://www.cunninghammpls.org/meet-phillipe	www.cunninghammpls.org/meet-phillipe.html	(from https://www.cunninghammpls.org/)
