date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:17	26460/26460	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20Jan%202017%2002:05:17%20GMT	http://votestephaniegasca.com/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/index.html	(from )
02:05:17	1137/1137	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Wed,%2025%20Jan%202017%2005:12:05%20GMT	http://votestephaniegasca.com/wp-content/themes/BLANK-Theme/favicon.ico	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/wp-content/themes/BLANK-Theme/favicon.ico	(from http://votestephaniegasca.com/)
02:05:18	11457/11457	---M-Z	200	added ('OK')	text/css	date:Thu,%2026%20Jan%202017%2001:04:42%20GMT	http://votestephaniegasca.com/wp-content/themes/BLANK-Theme/style.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/wp-content/themes/BLANK-Theme/style.css	(from http://votestephaniegasca.com/)
02:05:19	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2026%20Jan%202017%2002:05:18%20GMT	http://votestephaniegasca.com/xmlrpc.php	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/xmlrpc.php	(from http://votestephaniegasca.com/)
02:05:19	3859/3859	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Jan%202017%2014:05:35%20GMT	http://votestephaniegasca.com/wp-content/plugins/wpgform/css/wpgform.css?ver=4.7.1	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/wp-content/plugins/wpgform/css/wpgform6996.css	(from http://votestephaniegasca.com/)
02:05:19	196/196	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2024%20Jan%202017%2001:28:58%20GMT	http://votestephaniegasca.com/wp-content/themes/BLANK-Theme/js/script.js?ver=4.7.1	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/wp-content/themes/BLANK-Theme/js/script6996.js	(from http://votestephaniegasca.com/)
02:05:20	3596/3596	---M-Z	200	added ('OK')	image/png	date:Wed,%2025%20Jan%202017%2009:00:20%20GMT	http://votestephaniegasca.com/wp-content/themes/BLANK-Theme/images/donate.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/wp-content/themes/BLANK-Theme/images/donate.5.delayed	(from http://votestephaniegasca.com/)
02:05:20	10422/10422	---M-Z	200	added ('OK')	application/rss+xml	etag:%2266f14c3254fbc0d6ca486858918777fb%22	http://votestephaniegasca.com/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/feed/index.html	(from http://votestephaniegasca.com/)
02:05:20	1663/1663	---M-Z	200	added ('OK')	application/rss+xml	etag:%22fc98455c81de585ec4946cb485d4f2ac%22	http://votestephaniegasca.com/comments/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/comments/feed/index.html	(from http://votestephaniegasca.com/)
02:05:20	673/673	---M-Z	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2004:42:08%20GMT	http://votestephaniegasca.com/wp-content/themes/BLANK-Theme/images/facebooklogo.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W04-GASCA-votestephaniegasca.com/votestephaniegasca.com/wp-content/themes/BLANK-Theme/images/facebooklogo.png	(from http://votestephaniegasca.com/)
