date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:09	43760/43760	U--MCZ	200	updated ('OK')	text/html	etag:W/%229e6f7abf3c98871d66c5317575c48dae-gzip%22	https://www.jeremiah-ellison.com/	www.jeremiah-ellison.com/index.html	(from )
00:52:10	1171/1171	U--M--	200	updated ('OK')	image/png	etag:W/%22bd36f0cdbf436fc137f0ca5470a149c2%22	https://www.jeremiah-ellison.com/favicon.ico	www.jeremiah-ellison.com/favicon.png	(from https://www.jeremiah-ellison.com/)
00:52:14	39738/39738	U--MCZ	200	updated ('OK')	text/html	etag:W/%22a20d47cdfb4d196735f0d9c852476c4c-gzip%22	https://www.jeremiah-ellison.com/join-us/	www.jeremiah-ellison.com/join-us/index.html	(from https://www.jeremiah-ellison.com/)
00:52:15	45508/45508	U--MCZ	200	updated ('OK')	text/html	etag:W/%22fcf3e7e0b74dc195399398aa68197398-gzip%22	https://www.jeremiah-ellison.com/vision/	www.jeremiah-ellison.com/vision/index.html	(from https://www.jeremiah-ellison.com/)
00:52:15	40983/40983	U--MCZ	200	updated ('OK')	text/html	etag:W/%22bf8bb336f9f629d59272b5f309d4700b-gzip%22	https://www.jeremiah-ellison.com/meet-jeremiah/	www.jeremiah-ellison.com/meet-jeremiah/index.html	(from https://www.jeremiah-ellison.com/)
00:52:16	39959/39959	U--MCZ	200	updated ('OK')	text/html	etag:W/%22bee20e9d56736401a6fbc70766259a32-gzip%22	https://www.jeremiah-ellison.com/what-we-do/	www.jeremiah-ellison.com/what-we-do/index.html	(from https://www.jeremiah-ellison.com/)
00:52:20	40983/40983	U--MCZ	200	updated ('OK')	text/html	etag:W/%226a058ecf07e63e42bbfef43f48f8c77c-gzip%22	https://www.jeremiah-ellison.com/meet-jeremiah	www.jeremiah-ellison.com/meet-jeremiah.html	(from https://www.jeremiah-ellison.com/)
00:52:21	45508/45508	U--MCZ	200	updated ('OK')	text/html	etag:W/%226ba3b55a2f4b24e33e3b11b07f1d41b7-gzip%22	https://www.jeremiah-ellison.com/vision	www.jeremiah-ellison.com/vision.html	(from https://www.jeremiah-ellison.com/)
00:52:21	39738/39738	U--MCZ	200	updated ('OK')	text/html	etag:W/%22d42aa215c313d50306be62773806a14f-gzip%22	https://www.jeremiah-ellison.com/join-us	www.jeremiah-ellison.com/join-us.html	(from https://www.jeremiah-ellison.com/meet-jeremiah/)
00:52:21	59946/59946	U-----	200	untouched ('OK')	image/svg+xml	etag:%22c68cc01b7e5bd1277ff6bc364434e093%22	https://www.jeremiah-ellison.com/universal/svg/social-accounts.svg	www.jeremiah-ellison.com/universal/svg/social-accounts.svg	(from https://www.jeremiah-ellison.com/)
00:52:21	39554/39554	U--MCZ	200	updated ('OK')	text/html	etag:W/%2286650d56eacbc2d5871eb29cdcf8d0c9-gzip%22	https://www.jeremiah-ellison.com/donation	www.jeremiah-ellison.com/donation.html	(from https://www.jeremiah-ellison.com/vision/)
00:52:22	39554/39554	U--MCZ	200	updated ('OK')	text/html	etag:W/%2270d643624c61dd14295ea107f28f6a4e-gzip%22	https://www.jeremiah-ellison.com/donation/	www.jeremiah-ellison.com/donation/index.html	(from https://www.jeremiah-ellison.com/donation)
00:52:22	44772/44772	U--MCZ	200	updated ('OK')	text/html	etag:W/%22da08478731a11a7c5636c40442da2865-gzip%22	https://www.jeremiah-ellison.com/donation/max-donation	www.jeremiah-ellison.com/donation/max-donation.html	(from https://www.jeremiah-ellison.com/donation)
