date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:02	43760/43760	U--M-Z	200	updated ('OK')	text/html	etag:W/%229dbe68b735be2920ee917095c8af0d0d%22	https://www.jeremiah-ellison.com/	www.jeremiah-ellison.com/index.html	(from )
19:54:04	1171/1171	U--M--	200	updated ('OK')	image/png	etag:W/%22704906d2caf93500af5ebed406e9cc72%22	https://www.jeremiah-ellison.com/favicon.ico	www.jeremiah-ellison.com/favicon.png	(from https://www.jeremiah-ellison.com/)
19:54:08	40983/40983	U--MCZ	200	updated ('OK')	text/html	etag:W/%226b6ef1a602d9e40e3bb134d3fcbc124d-gzip%22	https://www.jeremiah-ellison.com/meet-jeremiah/	www.jeremiah-ellison.com/meet-jeremiah/index.html	(from https://www.jeremiah-ellison.com/)
19:54:08	39738/39738	U--MCZ	200	updated ('OK')	text/html	etag:W/%2201d53dc7c8a1fcef9d1413ac3feb76f8-gzip%22	https://www.jeremiah-ellison.com/join-us/	www.jeremiah-ellison.com/join-us/index.html	(from https://www.jeremiah-ellison.com/)
19:54:09	45508/45508	U--MCZ	200	updated ('OK')	text/html	etag:W/%2208baf71940c6a748b94cf4174557c1ba-gzip%22	https://www.jeremiah-ellison.com/vision/	www.jeremiah-ellison.com/vision/index.html	(from https://www.jeremiah-ellison.com/)
19:54:09	39959/39959	U--MCZ	200	updated ('OK')	text/html	etag:W/%22e6bed771105e549917de7c40a03d0d85-gzip%22	https://www.jeremiah-ellison.com/what-we-do/	www.jeremiah-ellison.com/what-we-do/index.html	(from https://www.jeremiah-ellison.com/)
19:54:14	40983/40983	U--MCZ	200	updated ('OK')	text/html	etag:W/%226f008ec551011cd1f1584694d15e095c-gzip%22	https://www.jeremiah-ellison.com/meet-jeremiah	www.jeremiah-ellison.com/meet-jeremiah.html	(from https://www.jeremiah-ellison.com/)
19:54:15	45508/45508	U--MCZ	200	updated ('OK')	text/html	etag:W/%22ed67799f113405b9b9dc7b9882a27bab-gzip%22	https://www.jeremiah-ellison.com/vision	www.jeremiah-ellison.com/vision.html	(from https://www.jeremiah-ellison.com/)
19:54:15	39738/39738	U--MCZ	200	updated ('OK')	text/html	etag:W/%2237d4f9f92f784ab993fa036decea4a18-gzip%22	https://www.jeremiah-ellison.com/join-us	www.jeremiah-ellison.com/join-us.html	(from https://www.jeremiah-ellison.com/meet-jeremiah/)
19:54:15	59946/59946	U-----	200	untouched ('OK')	image/svg+xml	etag:%22c68cc01b7e5bd1277ff6bc364434e093%22	https://www.jeremiah-ellison.com/universal/svg/social-accounts.svg	www.jeremiah-ellison.com/universal/svg/social-accounts.svg	(from https://www.jeremiah-ellison.com/)
19:54:15	39554/39554	U--MCZ	200	updated ('OK')	text/html	etag:W/%2201f6467f48ba9761b870196b41e347ce-gzip%22	https://www.jeremiah-ellison.com/donation	www.jeremiah-ellison.com/donation.html	(from https://www.jeremiah-ellison.com/vision/)
19:54:16	44772/44772	U--MCZ	200	updated ('OK')	text/html	etag:W/%228467a613f572524a4008679f6c774198-gzip%22	https://www.jeremiah-ellison.com/donation/max-donation	www.jeremiah-ellison.com/donation/max-donation.html	(from https://www.jeremiah-ellison.com/donation)
19:54:16	39554/39554	U--MCZ	200	updated ('OK')	text/html	etag:W/%2214b7f8896e0bf4b92ed97adbb29bd670-gzip%22	https://www.jeremiah-ellison.com/donation/	www.jeremiah-ellison.com/donation/index.html	(from https://www.jeremiah-ellison.com/donation)
