date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:56	37518/37518	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:52:56%20GMT	http://raeishaforward5.com/	raeishaforward5.com/index.html	(from )
18:52:57	37504/37504	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:52:57%20GMT	http://raeishaforward5.com/bio	raeishaforward5.com/bio.html	(from http://raeishaforward5.com/)
18:52:58	30121/30121	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:52:58%20GMT	http://raeishaforward5.com/commitments	raeishaforward5.com/commitments.html	(from http://raeishaforward5.com/)
18:52:59	29580/29580	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:52:59%20GMT	http://raeishaforward5.com/affordable-housin-homeownership	raeishaforward5.com/affordable-housin-homeownership.html	(from http://raeishaforward5.com/)
18:53:00	29325/29325	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:52:59%20GMT	http://raeishaforward5.com/economic-development	raeishaforward5.com/economic-development.html	(from http://raeishaforward5.com/)
18:53:01	29507/29507	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:53:00%20GMT	http://raeishaforward5.com/safe-thriving-communities	raeishaforward5.com/safe-thriving-communities.html	(from http://raeishaforward5.com/)
18:53:01	29349/29349	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:53:01%20GMT	http://raeishaforward5.com/education	raeishaforward5.com/education.html	(from http://raeishaforward5.com/)
18:53:02	29513/29513	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:53:02%20GMT	http://raeishaforward5.com/community-engagement	raeishaforward5.com/community-engagement.html	(from http://raeishaforward5.com/)
18:53:03	27241/27241	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:53:03%20GMT	http://raeishaforward5.com/events	raeishaforward5.com/events.html	(from http://raeishaforward5.com/)
18:53:04	34932/34932	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:53:04%20GMT	http://raeishaforward5.com/endorsements	raeishaforward5.com/endorsements.html	(from http://raeishaforward5.com/)
18:53:05	25064/25064	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2025%20Jan%202017%2018:53:04%20GMT	http://raeishaforward5.com/volunteer	raeishaforward5.com/volunteer.html	(from http://raeishaforward5.com/)
