date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:05	32786/32786	U--M-Z	200	updated ('OK')	text/html	etag:W/%2251a17d0450b0af4b31ef587745318d53-gzip%22	http://www.janneformpls.org/	www.janneformpls.org/index.html	(from )
18:53:06	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2018:53:05%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=1	www.janneformpls.org/users/twitter/connect073f	(from http://www.janneformpls.org/)
18:53:06	30900/30900	U--M-Z	200	updated ('OK')	text/html	etag:W/%224714994801922e6bf0c14064361c29ae-gzip%22	http://www.janneformpls.org/meet_janne	www.janneformpls.org/meet_janne.html	(from http://www.janneformpls.org/)
18:53:06	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2018:53:06%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=1	www.janneformpls.org/users/twitter/connect073f	(from http://www.janneformpls.org/)
18:53:07	29946/29946	U--M-Z	200	updated ('OK')	text/html	etag:W/%22cb76228a622e0cd8bf4a0a409182f79f-gzip%22	http://www.janneformpls.org/contact_us	www.janneformpls.org/contact_us.html	(from http://www.janneformpls.org/)
18:53:07	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2018:53:07%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=1	www.janneformpls.org/users/twitter/connect073f	(from http://www.janneformpls.org/)
18:53:07	36752/36752	U--M-Z	200	updated ('OK')	text/html	etag:W/%22b69c40991ad81add0b8e2cf682e7f796-gzip%22	http://www.janneformpls.org/issues	www.janneformpls.org/issues.html	(from http://www.janneformpls.org/)
18:53:07	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2018:53:07%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=29	www.janneformpls.org/users/twitter/connect.3aaae.delayed	(from http://www.janneformpls.org/meet_janne)
18:53:08	0/-1	---M--	302	error ('')			http://www.janneformpls.org/users/twitter/connect?page_id=29	www.janneformpls.org/users/twitter/connect.4aaae.delayed	(from http://www.janneformpls.org/meet_janne)
18:53:08	0/-1	---M--	302	error ('')			http://www.janneformpls.org/users/twitter/connect?page_id=29	www.janneformpls.org/users/twitter/connect.5aaae.delayed	(from http://www.janneformpls.org/meet_janne)
