date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:25	32786/32786	U--M-Z	200	updated ('OK')	text/html	etag:W/%220c5cb46be74359d2a5ffec80d3f1cf45-gzip%22	http://www.janneformpls.org/	www.janneformpls.org/index.html	(from )
00:52:25	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:25%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=1	www.janneformpls.org/users/twitter/connect073f	(from http://www.janneformpls.org/)
00:52:25	26184/26184	U--M-Z	200	updated ('OK')	text/html	etag:W/%2284086af421d11ce86d160f11c5bc5526-gzip%22	http://www.janneformpls.org/meet_janne	www.janneformpls.org/meet_janne.html	(from http://www.janneformpls.org/)
00:52:26	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:26%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=1	www.janneformpls.org/users/twitter/connect073f	(from http://www.janneformpls.org/)
00:52:26	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:26%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=1	www.janneformpls.org/users/twitter/connect073f	(from http://www.janneformpls.org/)
00:52:26	29947/29947	U--M-Z	200	updated ('OK')	text/html	etag:W/%22e28ec17e1eaf2b38acd0d4457b3aecc1-gzip%22	http://www.janneformpls.org/contact_us	www.janneformpls.org/contact_us.html	(from http://www.janneformpls.org/)
00:52:26	36752/36752	U--M-Z	200	updated ('OK')	text/html	etag:W/%22b69c40991ad81add0b8e2cf682e7f796-gzip%22	http://www.janneformpls.org/issues	www.janneformpls.org/issues.html	(from http://www.janneformpls.org/)
00:52:27	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:27%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=29	www.janneformpls.org/users/twitter/connect.3aaae.delayed	(from http://www.janneformpls.org/meet_janne)
00:52:27	0/-1	---M--	302	error ('')			http://www.janneformpls.org/users/twitter/connect?page_id=29	www.janneformpls.org/users/twitter/connect.4aaae.delayed	(from http://www.janneformpls.org/meet_janne)
00:52:27	0/-1	---M--	302	error ('')			http://www.janneformpls.org/users/twitter/connect?page_id=29	www.janneformpls.org/users/twitter/connect.5aaae.delayed	(from http://www.janneformpls.org/meet_janne)
00:52:27	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:27%20GMT	http://www.janneformpls.org/donate	www.janneformpls.org/donate	(from http://www.janneformpls.org/)
00:52:27	33043/33043	U--M-Z	200	updated ('OK')	text/html	etag:W/%220779d4e481fdd1eff2787ffb187c2d9e-gzip%22	http://www.janneformpls.org/volunteer	www.janneformpls.org/volunteer.html	(from http://www.janneformpls.org/)
00:52:28	38331/38331	U--M-Z	200	updated ('OK')	text/html	etag:W/%22c9fbb56b40beb51742973299ed0de17c-gzip%22	http://www.janneformpls.org/caucus_for_janne	www.janneformpls.org/caucus_for_janne.html	(from http://www.janneformpls.org/)
00:52:28	35018/35018	U--M-Z	200	updated ('OK')	text/html	etag:W/%22d705d0de1e3e0f9a7099081937030919-gzip%22	http://www.janneformpls.org/endorsements	www.janneformpls.org/endorsements.html	(from http://www.janneformpls.org/)
00:52:28	6820/6820	U-----	200	untouched ('')	image/gif	date:Tue,%2022%20Nov%202016%2019:28:52%20GMT	http://www.janneformpls.org/assets/loading.gif	www.janneformpls.org/assets/loading.gif	(from http://www.janneformpls.org/)
00:52:28	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:28%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=21	www.janneformpls.org/users/twitter/connect1766	(from http://www.janneformpls.org/contact_us)
00:52:28	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:28%20GMT	http://www.janneformpls.org/login	www.janneformpls.org/login	(from http://www.janneformpls.org/)
00:52:29	35933/35933	U--M-Z	200	updated ('OK')	text/html	etag:W/%224bc9aacb209c94af5ee7bb86e861e576-gzip%22	http://www.janneformpls.org/events	www.janneformpls.org/events.html	(from http://www.janneformpls.org/)
00:52:29	164/164	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:29%20GMT	http://www.janneformpls.org/session_pair_phase_1	www.janneformpls.org/session_pair_phase_1	(from http://www.janneformpls.org/)
00:52:29	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:29%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=21	www.janneformpls.org/users/twitter/connect1766	(from http://www.janneformpls.org/contact_us)
00:52:29	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:29%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=21	www.janneformpls.org/users/twitter/connect1766	(from http://www.janneformpls.org/contact_us)
00:52:30	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:30%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=31	www.janneformpls.org/users/twitter/connect3329	(from http://www.janneformpls.org/issues)
00:52:30	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:30%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=31	www.janneformpls.org/users/twitter/connect3329	(from http://www.janneformpls.org/issues)
00:52:30	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:30%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=31	www.janneformpls.org/users/twitter/connect3329	(from http://www.janneformpls.org/issues)
00:52:31	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:31%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=2	www.janneformpls.org/users/twitter/connectba53	(from http://www.janneformpls.org/volunteer)
00:52:31	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:31%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=2	www.janneformpls.org/users/twitter/connectba53	(from http://www.janneformpls.org/volunteer)
00:52:31	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:31%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=2	www.janneformpls.org/users/twitter/connectba53	(from http://www.janneformpls.org/volunteer)
00:52:32	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:32%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=22	www.janneformpls.org/users/twitter/connect97bb	(from http://www.janneformpls.org/caucus_for_janne)
00:52:32	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:32%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=22	www.janneformpls.org/users/twitter/connect97bb	(from http://www.janneformpls.org/caucus_for_janne)
00:52:32	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:32%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=22	www.janneformpls.org/users/twitter/connect97bb	(from http://www.janneformpls.org/caucus_for_janne)
00:52:33	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:33%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=41	www.janneformpls.org/users/twitter/connect4e71	(from http://www.janneformpls.org/endorsements)
00:52:33	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:33%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=41	www.janneformpls.org/users/twitter/connect4e71	(from http://www.janneformpls.org/endorsements)
00:52:33	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:33%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=41	www.janneformpls.org/users/twitter/connect4e71	(from http://www.janneformpls.org/endorsements)
00:52:34	172/172	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2025%20Jan%202017%2000:52:34%20GMT	http://www.janneformpls.org/users/twitter/connect?page_id=55	www.janneformpls.org/users/twitter/connect2928	(from http://www.janneformpls.org/events)
