date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:24	75605/75605	U--M-Z	200	updated ('OK')	text/html	etag:W/%2212d4c8c470eaf6817021f1e071cb9b81%22	https://andreajenkinsforward8.org/	andreajenkinsforward8.org/index.html	(from )
18:54:25	3334/3334	U--M--	200	updated ('OK')	image/png	etag:W/%22aa2c9e019f0f12ec947eaa66db6ae948%22	https://andreajenkinsforward8.org/favicon.ico	andreajenkinsforward8.org/favicon.png	(from https://andreajenkinsforward8.org/)
18:54:29	44115/44115	U--MCZ	200	updated ('OK')	text/html	etag:W/%2288958c6504c32443d05963ea8d44435b-gzip%22	https://andreajenkinsforward8.org/equity-in-public-safety/	andreajenkinsforward8.org/equity-in-public-safety/index.html	(from https://andreajenkinsforward8.org/)
18:54:29	43737/43737	U--MCZ	200	updated ('OK')	text/html	etag:W/%2297bfd994a41cee68b9503aa0b0274c61-gzip%22	https://andreajenkinsforward8.org/equity-in-transportation/	andreajenkinsforward8.org/equity-in-transportation/index.html	(from https://andreajenkinsforward8.org/)
18:54:30	43935/43935	U--MCZ	200	updated ('OK')	text/html	etag:W/%220df35279842c760455103940da549869-gzip%22	https://andreajenkinsforward8.org/equity-in-our-environment/	andreajenkinsforward8.org/equity-in-our-environment/index.html	(from https://andreajenkinsforward8.org/)
18:54:31	44815/44815	U--MCZ	200	updated ('OK')	text/html	etag:W/%22aacf6b878d1ea5b3e3c476db3878a048-gzip%22	https://andreajenkinsforward8.org/equity-in-affordable-housing/	andreajenkinsforward8.org/equity-in-affordable-housing/index.html	(from https://andreajenkinsforward8.org/)
18:54:35	43981/43981	U--MCZ	200	updated ('OK')	text/html	etag:W/%22d650710b25a16e63eb81d947f3512667-gzip%22	https://andreajenkinsforward8.org/equity-in-the-arts/	andreajenkinsforward8.org/equity-in-the-arts/index.html	(from https://andreajenkinsforward8.org/)
18:54:35	44226/44226	U--MCZ	200	updated ('OK')	text/html	etag:W/%2243d91cab6b38d89a728c531bb896668f-gzip%22	https://andreajenkinsforward8.org/equity-in-access-to-democracy/	andreajenkinsforward8.org/equity-in-access-to-democracy/index.html	(from https://andreajenkinsforward8.org/)
18:54:36	51314/51314	U--MCZ	200	updated ('OK')	text/html	etag:W/%22032b71efe77de4dc50288a2afffa4a23-gzip%22	https://andreajenkinsforward8.org/new-page/	andreajenkinsforward8.org/new-page/index.html	(from https://andreajenkinsforward8.org/)
18:54:37	41691/41691	U--MCZ	200	updated ('OK')	text/html	etag:W/%22d69a3c1e43aa4d59531e7137ab97a1be-gzip%22	https://andreajenkinsforward8.org/new-page-2/	andreajenkinsforward8.org/new-page-2/index.html	(from https://andreajenkinsforward8.org/)
18:54:41	66551/66551	U--MCZ	200	updated ('OK')	text/html	etag:W/%227dbb6262396718c7454259d5131ddf45-gzip%22	https://andreajenkinsforward8.org/photos/	andreajenkinsforward8.org/photos/index.html	(from https://andreajenkinsforward8.org/)
18:54:42	48750/48750	U--MCZ	200	updated ('OK')	text/html	etag:W/%2284f8b6f1f949b1c1ae1f2bf0579b9484-gzip%22	https://andreajenkinsforward8.org/volunteer/	andreajenkinsforward8.org/volunteer/index.html	(from https://andreajenkinsforward8.org/)
18:54:42	40787/40787	U--MCZ	200	updated ('OK')	text/html	etag:W/%22e59cc86391e42b9e55379506daae5586-gzip%22	https://andreajenkinsforward8.org/donate/	andreajenkinsforward8.org/donate/index.html	(from https://andreajenkinsforward8.org/)
18:54:44	51314/51314	U--MCZ	200	updated ('OK')	text/html	etag:W/%22d9d33cc2085d9d042573cbb12b146382-gzip%22	https://andreajenkinsforward8.org/new-page	andreajenkinsforward8.org/new-page.html	(from https://andreajenkinsforward8.org/)
18:54:47	44115/44115	U--MCZ	200	updated ('OK')	text/html	etag:W/%22cf7aef3836a36c6289c02a0b32e4cf86-gzip%22	https://andreajenkinsforward8.org/equity-in-public-safety	andreajenkinsforward8.org/equity-in-public-safety.html	(from https://andreajenkinsforward8.org/)
18:54:47	43737/43737	U--MCZ	200	updated ('OK')	text/html	etag:W/%220c280853bac07ba52a8c6f1930a51589-gzip%22	https://andreajenkinsforward8.org/equity-in-transportation	andreajenkinsforward8.org/equity-in-transportation.html	(from https://andreajenkinsforward8.org/)
18:54:48	43935/43935	U--MCZ	200	updated ('OK')	text/html	etag:W/%2209e82f1d574b8bee625336ade0160865-gzip%22	https://andreajenkinsforward8.org/equity-in-our-environment	andreajenkinsforward8.org/equity-in-our-environment.html	(from https://andreajenkinsforward8.org/)
18:54:50	44815/44815	U--MCZ	200	updated ('OK')	text/html	etag:W/%22878de283490007e8ab2e7e9bf9c3973e-gzip%22	https://andreajenkinsforward8.org/equity-in-affordable-housing	andreajenkinsforward8.org/equity-in-affordable-housing.html	(from https://andreajenkinsforward8.org/)
18:54:52	11839/11839	U--M--	200	updated ('OK')	application/rss+xml	etag:W/%22fd9023f5b68b28ab1d8937ab04085af4%22	https://andreajenkinsforward8.org/photos?format=RSS	andreajenkinsforward8.org/photoscecb	(from https://andreajenkinsforward8.org/photos/)
