date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:35	47783/47783	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:15:52%20GMT	https://www.ericamauter.org/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/index.html	(from )
16:15:36	754705/754705	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202017%2022:11:55%20GMT	https://www.ericamauter.org/wp-content/cache/minify/53431.css	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/53431.css	(from https://www.ericamauter.org/)
16:15:37	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2022%20Jan%202017%2016:15:55%20GMT	https://www.ericamauter.org/xmlrpc.php	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/xmlrpc.1.delayed	(from https://www.ericamauter.org/)
16:15:38	107237/107237	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:45%20GMT	https://www.ericamauter.org/wp-content/cache/minify/df983.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/df983.js	(from https://www.ericamauter.org/)
16:15:39	854/854	---M-Z	200	added ('OK')	text/xml	date:Sun,%2022%20Jan%202017%2016:15:56%20GMT	https://www.ericamauter.org/xmlrpc.php?rsd	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/xmlrpc0db0.php	(from https://www.ericamauter.org/)
16:15:39	1045/1045	---M-Z	200	added ('OK')	text/xml	date:Tue,%2006%20Dec%202016%2019:26:34%20GMT	https://www.ericamauter.org/wp-includes/wlwmanifest.xml	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-includes/wlwmanifest.xml	(from https://www.ericamauter.org/)
16:15:40	1818/1818	---MC-	200	added ('OK')	text/calendar	date:Sun,%2022%20Jan%202017%2016:15:56%20GMT	https://www.ericamauter.org/events/?ical=1	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/events/indexedf3.html	(from https://www.ericamauter.org/)
16:15:40	8634/8634	---MC-	200	added ('OK')	application/rss+xml	etag:%223821c07316040bb72afa1b4d3c45eebf%22	https://www.ericamauter.org/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/feed/index.html	(from https://www.ericamauter.org/)
16:15:40	890/890	---MC-	200	added ('OK')	application/rss+xml	etag:%2296a414acbff02d45178776f2fbfb6e3d%22	https://www.ericamauter.org/comments/feed/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/comments/feed/index.html	(from https://www.ericamauter.org/)
16:15:41	2102/2102	---M-Z	200	added ('OK')	application/json	date:Sun,%2022%20Jan%202017%2016:15:58%20GMT	https://www.ericamauter.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ericamauter.org%2F	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-json/oembed/1.0/embedcc31.json	(from https://www.ericamauter.org/)
16:15:41	91383/91383	---MCZ	200	added ('OK')	application/json	date:Sun,%2022%20Jan%202017%2016:15:58%20GMT	https://www.ericamauter.org/wp-json/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-json/index.html	(from https://www.ericamauter.org/)
16:15:42	2384/2384	---M-Z	200	added ('OK')	text/xml	date:Sun,%2022%20Jan%202017%2016:15:59%20GMT	https://www.ericamauter.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ericamauter.org%2F&format=xml	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-json/oembed/1.0/embed8cd3	(from https://www.ericamauter.org/)
16:15:42	11098/11098	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jan%202017%2004:29:14%20GMT	https://www.ericamauter.org/wp-content/uploads/2016/12/Just-E.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/uploads/2016/12/Just-E.png	(from https://www.ericamauter.org/)
16:15:43	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Jan%202017%2016:16:01%20GMT	http://www.ericamauter.org/meet-erica	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/meet-erica.9.delayed	(from https://www.ericamauter.org/)
16:15:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Jan%202017%2016:16:01%20GMT	http://www.ericamauter.org/?wordfence_logHuman=1&hid=51BBB32393236FFC1A3C36C081A9CCC7	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/index1f03.html	(from https://www.ericamauter.org/)
16:15:44	3077/3077	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Jan%202017%2016:16:01%20GMT	https://www.ericamauter.org/?custom-css=85b6687b06	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/indexa86b.html	(from https://www.ericamauter.org/)
16:15:44	115551/115551	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Dec%202016%2000:15:48%20GMT	https://www.ericamauter.org/staging/1949/wp-content/uploads/2016/12/Mauter-Logo-Launch-transparent.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/staging/1949/wp-content/uploads/2016/12/Mauter-Logo-Launch-transparent.png	(from https://www.ericamauter.org/)
16:15:45	45189/45189	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:02%20GMT	https://www.ericamauter.org/meet-erica/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/meet-erica/index.html	(from https://www.ericamauter.org/)
16:15:46	120472/120472	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jan%202017%2004:29:38%20GMT	https://www.ericamauter.org/wp-content/uploads/2016/12/Mauter-Logo-Launch.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/uploads/2016/12/Mauter-Logo-Launch.png	(from https://www.ericamauter.org/)
16:15:46	6164/6164	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2021%20Jan%202017%2022:11:57%20GMT	https://www.ericamauter.org/wp-content/cache/minify/aac1d.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/aac1d.js	(from https://www.ericamauter.org/)
16:15:46	50590/50590	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:03%20GMT	https://www.ericamauter.org/issues/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/issues/index.html	(from https://www.ericamauter.org/)
16:15:46	43800/43800	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:03%20GMT	https://www.ericamauter.org/volunteer/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/volunteer/index.html	(from https://www.ericamauter.org/)
16:15:46	2518/2518	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2021%20Jan%202017%2022:11:57%20GMT	https://www.ericamauter.org/wp-content/cache/minify/1d222.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/1d222.js	(from https://www.ericamauter.org/)
16:15:47	61992/61992	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:45%20GMT	https://www.ericamauter.org/wp-content/cache/minify/8ee3e.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/8ee3e.js	(from https://www.ericamauter.org/)
16:15:47	32987/32987	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:46%20GMT	https://www.ericamauter.org/wp-content/cache/minify/2b8ee.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/2b8ee.js	(from https://www.ericamauter.org/)
16:15:47	128456/128456	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:46%20GMT	https://www.ericamauter.org/wp-content/cache/minify/eb4b8.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/eb4b8.js	(from https://www.ericamauter.org/)
16:15:47	512367/512367	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Jan%202017%2004:29:28%20GMT	https://www.ericamauter.org/wp-content/uploads/2016/12/IMG_2008.jpg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/uploads/2016/12/IMG_2008.jpg	(from https://www.ericamauter.org/)
16:15:47	17889/17889	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:45%20GMT	https://www.ericamauter.org/wp-content/cache/minify/1c99f.js	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/cache/minify/1c99f.js	(from https://www.ericamauter.org/)
16:15:48	723/723	---M--	200	added ('OK')	image/gif	date:Sat,%2021%20Jan%202017%2023:02:06%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/images/ajax_loader.gif	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/images/ajax_loader.gif	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
16:15:49	538/538	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jan%202017%2023:02:06%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/pro/images/chosen-sprite.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/pro/images/chosen-sprite.png	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
16:15:49	19804/19804	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Jan%202017%2016:16:07%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.eot	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.eot	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
16:15:50	44018/44018	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:06%20GMT	https://www.ericamauter.org/caucus-information/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/caucus-information/index.html	(from https://www.ericamauter.org/)
16:15:50	19720/19720	---M-Z	200	added ('OK')	application/font-woff	date:Sun,%2022%20Jan%202017%2016:16:07%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.woff	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.woff	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
16:15:50	52078/52078	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:06%20GMT	https://www.ericamauter.org/donate/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/donate/index.html	(from https://www.ericamauter.org/)
16:15:51	50263/50263	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:06%20GMT	https://www.ericamauter.org/southwest-journal-erica-mauter-joins-ward-11-race/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/southwest-journal-erica-mauter-joins-ward-11-race/index.html	(from https://www.ericamauter.org/)
16:15:51	19644/19644	---M-Z	200	added ('OK')	application/x-font-ttf	date:Sun,%2022%20Jan%202017%2016:16:08%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.ttf	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.ttf	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
16:15:52	85316/85316	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2022%20Jan%202017%2016:16:09%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.svg	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/fonts/s11-fp.svg	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
16:15:52	40415/40415	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202017%2016:16:08%20GMT	https://www.ericamauter.org/author/elmautergmail-com/	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/author/elmautergmail-com/index.html	(from https://www.ericamauter.org/)
16:15:53	738/738	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jan%202017%2023:02:06%20GMT	http://www.ericamauter.org/wp-content/plugins/formidable/pro/images/chosen-sprite2x.png	/home/mirror/minneapolis-candidate-mirrors/COUNCIL-W11-MAUTER-ericamauter.org/www.ericamauter.org/wp-content/plugins/formidable/pro/images/chosen-sprite2x.png	(from https://www.ericamauter.org/wp-content/cache/minify/53431.css)
