date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:04	47783/47783	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:21%20GMT	https://www.ericamauter.org/	www.ericamauter.org/index.html	(from )
17:14:05	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2022%20Jan%202017%2017:14:22%20GMT	https://www.ericamauter.org/xmlrpc.php	www.ericamauter.org/xmlrpc.php	(from https://www.ericamauter.org/)
17:14:06	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Jan%202017%2017:14:24%20GMT	http://www.ericamauter.org/meet-erica	www.ericamauter.org/meet-erica.9.delayed	(from https://www.ericamauter.org/)
17:14:08	890/890	U--MC-	200	updated ('OK')	application/rss+xml	etag:%2274dd78452d6972b2663abf45c88b970f%22	https://www.ericamauter.org/comments/feed/	www.ericamauter.org/comments/feed/index.html	(from https://www.ericamauter.org/)
17:14:10	754705/754705	U-----	200	untouched ('OK')	text/css	date:Sat,%2021%20Jan%202017%2022:11:55%20GMT	https://www.ericamauter.org/wp-content/cache/minify/53431.css	www.ericamauter.org/wp-content/cache/minify/53431.css	(from https://www.ericamauter.org/)
17:14:11	91383/91383	U--MCZ	200	updated ('OK')	application/json	date:Sun,%2022%20Jan%202017%2017:14:27%20GMT	https://www.ericamauter.org/wp-json/	www.ericamauter.org/wp-json/index.html	(from https://www.ericamauter.org/)
17:14:11	8634/8634	U-----	200	untouched ('')	application/rss+xml	etag:%223821c07316040bb72afa1b4d3c45eebf%22	https://www.ericamauter.org/feed/	www.ericamauter.org/feed/index.html	(from https://www.ericamauter.org/)
17:14:12	854/854	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2022%20Jan%202017%2017:14:29%20GMT	https://www.ericamauter.org/xmlrpc.php?rsd	www.ericamauter.org/xmlrpc0db0.php	(from https://www.ericamauter.org/)
17:14:12	107237/107237	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:45%20GMT	https://www.ericamauter.org/wp-content/cache/minify/df983.js	www.ericamauter.org/wp-content/cache/minify/df983.js	(from https://www.ericamauter.org/)
17:14:14	2102/2102	U--M-Z	200	updated ('OK')	application/json	date:Sun,%2022%20Jan%202017%2017:14:30%20GMT	https://www.ericamauter.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ericamauter.org%2F	www.ericamauter.org/wp-json/oembed/1.0/embedcc31.json	(from https://www.ericamauter.org/)
17:14:14	2384/2384	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2022%20Jan%202017%2017:14:31%20GMT	https://www.ericamauter.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.ericamauter.org%2F&format=xml	www.ericamauter.org/wp-json/oembed/1.0/embed8cd3	(from https://www.ericamauter.org/)
17:14:15	3077/3077	U--M-Z	200	updated ('OK')	text/css	date:Sun,%2022%20Jan%202017%2017:14:32%20GMT	https://www.ericamauter.org/?custom-css=85b6687b06	www.ericamauter.org/indexa86b.html	(from https://www.ericamauter.org/)
17:14:16	1045/1045	U-----	200	untouched ('')	text/xml	date:Tue,%2006%20Dec%202016%2019:26:34%20GMT	https://www.ericamauter.org/wp-includes/wlwmanifest.xml	www.ericamauter.org/wp-includes/wlwmanifest.xml	(from https://www.ericamauter.org/)
17:14:17	45189/45189	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:34%20GMT	https://www.ericamauter.org/meet-erica/	www.ericamauter.org/meet-erica/index.html	(from https://www.ericamauter.org/)
17:14:18	11098/11098	U-----	200	untouched ('')	image/png	date:Sun,%2001%20Jan%202017%2004:29:14%20GMT	https://www.ericamauter.org/wp-content/uploads/2016/12/Just-E.png	www.ericamauter.org/wp-content/uploads/2016/12/Just-E.png	(from https://www.ericamauter.org/)
17:14:19	50590/50590	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:36%20GMT	https://www.ericamauter.org/issues/	www.ericamauter.org/issues/index.html	(from https://www.ericamauter.org/)
17:14:19	115551/115551	U-----	200	untouched ('')	image/png	date:Fri,%2016%20Dec%202016%2000:15:48%20GMT	https://www.ericamauter.org/staging/1949/wp-content/uploads/2016/12/Mauter-Logo-Launch-transparent.png	www.ericamauter.org/staging/1949/wp-content/uploads/2016/12/Mauter-Logo-Launch-transparent.png	(from https://www.ericamauter.org/)
17:14:20	43800/43800	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:36%20GMT	https://www.ericamauter.org/volunteer/	www.ericamauter.org/volunteer/index.html	(from https://www.ericamauter.org/)
17:14:21	44018/44018	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:38%20GMT	https://www.ericamauter.org/caucus-information/	www.ericamauter.org/caucus-information/index.html	(from https://www.ericamauter.org/)
17:14:22	52078/52078	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:38%20GMT	https://www.ericamauter.org/donate/	www.ericamauter.org/donate/index.html	(from https://www.ericamauter.org/)
17:14:23	40415/40415	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:38%20GMT	https://www.ericamauter.org/author/elmautergmail-com/	www.ericamauter.org/author/elmautergmail-com/index.html	(from https://www.ericamauter.org/)
17:14:23	50263/50263	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:39%20GMT	https://www.ericamauter.org/southwest-journal-erica-mauter-joins-ward-11-race/	www.ericamauter.org/southwest-journal-erica-mauter-joins-ward-11-race/index.html	(from https://www.ericamauter.org/)
17:14:24	52330/52330	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:40%20GMT	https://www.ericamauter.org/erica-mauter-announces-campaign-for-ward-11-city-council/	www.ericamauter.org/erica-mauter-announces-campaign-for-ward-11-city-council/index.html	(from https://www.ericamauter.org/)
17:14:25	40468/40468	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:40%20GMT	https://www.ericamauter.org/author/campaignteam/	www.ericamauter.org/author/campaignteam/index.html	(from https://www.ericamauter.org/)
17:14:27	47752/47752	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:42%20GMT	https://www.ericamauter.org/event/kick-off-party-for-erica-mauter-for-ward-11/	www.ericamauter.org/event/kick-off-party-for-erica-mauter-for-ward-11/index.html	(from https://www.ericamauter.org/)
17:14:27	44055/44055	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:43%20GMT	https://www.ericamauter.org/event/precinct-caucuses/	www.ericamauter.org/event/precinct-caucuses/index.html	(from https://www.ericamauter.org/)
17:14:28	43910/43910	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:14:43%20GMT	https://www.ericamauter.org/event/ward-11-convention/	www.ericamauter.org/event/ward-11-convention/index.html	(from https://www.ericamauter.org/)
17:14:28	120472/120472	U-----	200	untouched ('')	image/png	date:Sun,%2001%20Jan%202017%2004:29:38%20GMT	https://www.ericamauter.org/wp-content/uploads/2016/12/Mauter-Logo-Launch.png	www.ericamauter.org/wp-content/uploads/2016/12/Mauter-Logo-Launch.png	(from https://www.ericamauter.org/)
17:14:32	512367/512367	U-----	200	untouched ('')	image/jpeg	date:Sun,%2001%20Jan%202017%2004:29:28%20GMT	https://www.ericamauter.org/wp-content/uploads/2016/12/IMG_2008.jpg	www.ericamauter.org/wp-content/uploads/2016/12/IMG_2008.jpg	(from https://www.ericamauter.org/)
17:14:32	6164/6164	U-----	200	untouched ('OK')	application/x-javascript	date:Sat,%2021%20Jan%202017%2022:11:57%20GMT	https://www.ericamauter.org/wp-content/cache/minify/aac1d.js	www.ericamauter.org/wp-content/cache/minify/aac1d.js	(from https://www.ericamauter.org/)
17:14:33	2518/2518	U-----	200	untouched ('OK')	application/x-javascript	date:Sat,%2021%20Jan%202017%2022:11:57%20GMT	https://www.ericamauter.org/wp-content/cache/minify/1d222.js	www.ericamauter.org/wp-content/cache/minify/1d222.js	(from https://www.ericamauter.org/)
17:14:34	61992/61992	U-----	200	untouched ('OK')	application/x-javascript	date:Fri,%2020%20Jan%202017%2022:29:45%20GMT	https://www.ericamauter.org/wp-content/cache/minify/8ee3e.js	www.ericamauter.org/wp-content/cache/minify/8ee3e.js	(from https://www.ericamauter.org/)
