date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:22	29543/29543	U--M--	200	updated ('OK')	text/html	date:Sun,%2022%20Jan%202017%2017:18:21%20GMT	http://www.andrewmpls.com/	www.andrewmpls.com/index.html	(from )
17:18:22	13569/13569	U-----	200	untouched ('OK')	text/css	etag:%22aa1a25d14956d21:0%22	http://www.andrewmpls.com/Content/Site.css	www.andrewmpls.com/Content/Site.css	(from http://www.andrewmpls.com/)
17:18:22	32038/32038	U-----	200	untouched ('')	image/x-icon	etag:%22a1dd66c24956d21:0%22	http://www.andrewmpls.com/favicon.ico	www.andrewmpls.com/favicon.ico	(from http://www.andrewmpls.com/)
17:18:22	50144/50144	U-----	200	untouched ('')	application/javascript	etag:%223dc97df4956d21:0%22	http://www.andrewmpls.com/Scripts/modernizr-2.6.2.js	www.andrewmpls.com/Scripts/modernizr-2.6.2.js	(from http://www.andrewmpls.com/)
17:18:22	146066/146066	U-----	200	untouched ('OK')	text/css	etag:%223cc149d04956d21:0%22	http://www.andrewmpls.com/Content/bootstrap.css	www.andrewmpls.com/Content/bootstrap.css	(from http://www.andrewmpls.com/)
17:18:23	23063/23063	U-----	200	untouched ('OK')	application/x-javascript	date:Wed,%2030%20Nov%202016%2006:34:16%20GMT	http://www.andrewmpls.com/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZLRVhVuZNe7BszWTNI8vQeJaeG2-71r7oJl5YzO2mp0dnocALNkFV4NiAFDIcM0y4A2&t=636160556560000000	www.andrewmpls.com/WebResource3ea6.js	(from http://www.andrewmpls.com/)
17:18:23	149546/149546	U-----	200	untouched ('')	text/javascript	date:Sun,%2022%20Jan%202017%2016:27:04%20GMT	http://www.andrewmpls.com/bundles/MsAjaxJs?v=J4joXQqg80Lks57qbGfUAfRLic3bXKGafmR6wE4CFtc1	www.andrewmpls.com/bundles/MsAjaxJsb7f9	(from http://www.andrewmpls.com/)
17:18:23	277981/277981	U-----	200	untouched ('')	application/javascript	etag:%22ec8c95de4956d21:0%22	http://www.andrewmpls.com/Scripts/jquery-1.9.1.js	www.andrewmpls.com/Scripts/jquery-1.9.1.js	(from http://www.andrewmpls.com/)
17:18:23	6985/6985	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2017:18:22%20GMT	http://www.andrewmpls.com/fonts/glyphicons-halflings-regular.woff2	www.andrewmpls.com/fonts/glyphicons-halflings-regular.2.delayed	(from http://www.andrewmpls.com/Content/bootstrap.css)
17:18:23	365645/365645	U-----	200	untouched ('')	application/javascript	etag:%229bad37df4956d21:0%22	http://www.andrewmpls.com/Scripts/jquery-ui-1.8.24.js	www.andrewmpls.com/Scripts/jquery-ui-1.8.24.js	(from http://www.andrewmpls.com/)
17:18:23	59150/59150	U-----	200	untouched ('')	image/jpeg	etag:%22f52547db4956d21:0%22	http://www.andrewmpls.com/images/logo.jpg	www.andrewmpls.com/images/logo.jpg	(from http://www.andrewmpls.com/)
17:18:23	4831/4831	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2017:18:23%20GMT	http://www.andrewmpls.com/POST	www.andrewmpls.com/POST.3.delayed	(from http://www.andrewmpls.com/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZLRVhVuZNe7BszWTNI8vQeJaeG2-71r7oJl5YzO2mp0dnocALNkFV4NiAFDIcM0y4A2&t=636160556560000000)
17:18:23	314501/314501	U-----	200	untouched ('')	image/jpeg	etag:%22b964c9dc4956d21:0%22	http://www.andrewmpls.com/images/saraandandrew.jpg	www.andrewmpls.com/images/saraandandrew.jpg	(from http://www.andrewmpls.com/)
17:18:24	24150/24150	U-----	200	untouched ('')	image/jpeg	etag:%22134362da4956d21:0%22	http://www.andrewmpls.com/images/Andrew.jpg	www.andrewmpls.com/images/Andrew.jpg	(from http://www.andrewmpls.com/)
17:18:24	36868/36868	U-----	200	untouched ('')	application/javascript	etag:%2258ab91dd4956d21:0%22	http://www.andrewmpls.com/Scripts/bootstrap.min.js	www.andrewmpls.com/Scripts/bootstrap.min.js	(from http://www.andrewmpls.com/)
17:18:24	238804/238804	U-----	200	untouched ('')	image/jpeg	etag:%22483fbfda4956d21:0%22	http://www.andrewmpls.com/images/BG.JPG	www.andrewmpls.com/images/BG.jpg	(from http://www.andrewmpls.com/Content/Site.css)
17:18:24	3424/3424	U-----	200	untouched ('')	image/png	etag:%22b91153db4956d21:0%22	http://www.andrewmpls.com/Images/orderedList0.png	www.andrewmpls.com/Images/orderedList0.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:24	653/653	U-----	200	untouched ('')	image/png	etag:%22903779db4956d21:0%22	http://www.andrewmpls.com/Images/orderedList1.png	www.andrewmpls.com/Images/orderedList1.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:24	733/733	U-----	200	untouched ('')	image/png	etag:%22ffc082db4956d21:0%22	http://www.andrewmpls.com/Images/orderedList2.png	www.andrewmpls.com/Images/orderedList2.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:24	772/772	U-----	200	untouched ('')	image/png	etag:%22dfe6a8db4956d21:0%22	http://www.andrewmpls.com/Images/orderedList3.png	www.andrewmpls.com/Images/orderedList3.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:25	3355/3355	U-----	200	untouched ('')	image/png	etag:%225570b2db4956d21:0%22	http://www.andrewmpls.com/Images/orderedList4.png	www.andrewmpls.com/Images/orderedList4.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:25	3361/3361	U-----	200	untouched ('')	image/png	etag:%22d05adddb4956d21:0%22	http://www.andrewmpls.com/Images/orderedList5.png	www.andrewmpls.com/Images/orderedList5.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:25	3757/3757	U-----	200	untouched ('')	image/png	etag:%2249e4e6db4956d21:0%22	http://www.andrewmpls.com/Images/orderedList6.png	www.andrewmpls.com/Images/orderedList6.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:25	3651/3651	U-----	200	untouched ('')	image/png	etag:%22796cfdc4956d21:0%22	http://www.andrewmpls.com/Images/orderedList7.png	www.andrewmpls.com/Images/orderedList7.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:25	3446/3446	U-----	200	untouched ('')	image/png	etag:%22197e41dc4956d21:0%22	http://www.andrewmpls.com/Images/orderedList9.png	www.andrewmpls.com/Images/orderedList9.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:26	3467/3467	U-----	200	untouched ('')	image/png	etag:%22869316dc4956d21:0%22	http://www.andrewmpls.com/Images/orderedList8.png	www.andrewmpls.com/Images/orderedList8.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:26	2867/2867	U-----	200	untouched ('')	image/png	etag:%22b15494da4956d21:0%22	http://www.andrewmpls.com/Images/bullet.png	www.andrewmpls.com/Images/bullet.png	(from http://www.andrewmpls.com/Content/Site.css)
17:18:26	20127/20127	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2248d935d94956d21:0%22	http://www.andrewmpls.com/fonts/glyphicons-halflings-regular.eot	www.andrewmpls.com/fonts/glyphicons-halflings-regular.eot	(from http://www.andrewmpls.com/Content/bootstrap.css)
17:18:26	20127/20127	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2248d935d94956d21:0%22	http://www.andrewmpls.com/fonts/glyphicons-halflings-regular.eot?	www.andrewmpls.com/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.andrewmpls.com/Content/bootstrap.css)
17:18:26	23424/23424	U-----	200	untouched ('')	font/x-woff	etag:%225522c0d94956d21:0%22	http://www.andrewmpls.com/fonts/glyphicons-halflings-regular.woff	www.andrewmpls.com/fonts/glyphicons-halflings-regular.woff	(from http://www.andrewmpls.com/Content/bootstrap.css)
17:18:26	108738/108738	U-----	200	untouched ('OK')	image/svg+xml	etag:%2269ae8bd94956d21:0%22	http://www.andrewmpls.com/fonts/glyphicons-halflings-regular.svg	www.andrewmpls.com/fonts/glyphicons-halflings-regular.svg	(from http://www.andrewmpls.com/Content/bootstrap.css)
17:18:26	45404/45404	U-----	200	untouched ('')	application/octet-stream	etag:%22e52482d94956d21:0%22	http://www.andrewmpls.com/fonts/glyphicons-halflings-regular.ttf	www.andrewmpls.com/fonts/glyphicons-halflings-regular.ttf	(from http://www.andrewmpls.com/Content/bootstrap.css)
