date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:29	250/250	---MCZ	200	added ('OK')	text/plain	date:Sun,%2022%20Jan%202017%2006:39:29%20GMT	https://jacobfrey.org/robots.txt		(from )
06:39:29	56977/56977	---M-Z	200	added ('OK')	text/html	etag:W/%2250be5de98bffbea77cc8dbbbbaa06780%22	https://jacobfrey.org/	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/index.html	(from )
06:39:30	2416/2416	---M--	200	added ('OK')	image/png	etag:W/%228ade13f02159caa7e8d46cf75f8bccf5%22	https://jacobfrey.org/favicon.ico	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/favicon.png	(from https://jacobfrey.org/)
06:39:30	721/721	---M--	200	added ('OK')	application/rss+xml	etag:W/%2208a491a8938c437e1b7639a2b9e4032a%22	https://jacobfrey.org/index?format=RSS	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/indexcecb	(from https://jacobfrey.org/)
06:39:33	40885/40885	---M-Z	200	added ('OK')	text/html	etag:W/%22cb64105b3d0f004a1f8aedab9e6c951a%22	https://jacobfrey.org/bio/	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/bio/index.html	(from https://jacobfrey.org/)
06:39:33	35179/35179	---MCZ	200	added ('OK')	text/html	etag:W/%2295fa27da097d02d67527fb13e3f772cc-gzip%22	https://jacobfrey.org/chip-in	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/chip-in.html	(from https://jacobfrey.org/)
06:39:33	40105/40105	---MCZ	200	added ('OK')	text/html	etag:W/%22578f0800b95c4534983d2228acd12f62-gzip%22	https://jacobfrey.org/caucus/	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/caucus/index.html	(from https://jacobfrey.org/)
06:39:33	59921/59921	---MCZ	200	added ('OK')	text/html	etag:W/%22ce7ef7358c2970fe34ec3480d2b0f075-gzip%22	https://jacobfrey.org/issues/	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/issues/index.html	(from https://jacobfrey.org/)
06:39:34	40024/40024	---MCZ	200	added ('OK')	text/html	etag:W/%227cbf2a2ba030c62d1077c80678cda571-gzip%22	https://jacobfrey.org/join	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/join.html	(from https://jacobfrey.org/)
06:39:34	44404/44404	---M-Z	200	added ('OK')	text/html	etag:W/%22d0e2b20c7a5f7f8a4fba96009ad2331d%22	https://jacobfrey.org/events/2017/2/2/meet-greet-with-jacob	/home/mirror/minneapolis-candidate-mirrors/MAYOR-FREY-jacobfrey.org/jacobfrey.org/events/2017/2/2/meet-greet-with-jacob.html	(from https://jacobfrey.org/)
