date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:08	124/124	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%22898b3cb9f9968b1bd6d382d45b464172-gzip%22	https://nekima.nationbuilder.com/robots.txt		(from )
15:41:08	52861/52861	U--M-Z	200	updated ('OK')	text/html	etag:W/%224e5449d32a94345f53734303930d5d9e-gzip%22	https://nekima.nationbuilder.com/	nekima.nationbuilder.com/index.html	(from )
15:41:09	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:09%20GMT	https://nekima.nationbuilder.com/about	nekima.nationbuilder.com/about	(from https://nekima.nationbuilder.com/)
15:41:10	77881/77881	U--M-Z	200	updated ('OK')	text/css	etag:W/%2289c17d36fc543303f92e7cbde19f04d0-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/animate.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/animate.css	(from https://nekima.nationbuilder.com/)
15:41:10	117254/117254	U--M-Z	200	updated ('OK')	text/css	etag:W/%2293ee4c463eca3b02c99baf7323c36191-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/bootstrap.min.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/bootstrap.min.css	(from https://nekima.nationbuilder.com/)
15:41:10	236389/236389	U--MCZ	200	updated ('OK')	text/css	etag:W/%223b16b737ccce11c50db9c5a2454308ed-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/theme.scss	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/theme.css	(from https://nekima.nationbuilder.com/)
15:41:10	5115/5115	U--M-Z	200	updated ('OK')	text/css	etag:W/%22c1fab883a1ce8083a39f44ba1db843bb-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/slick.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/slick.css	(from https://nekima.nationbuilder.com/)
15:41:11	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:11%20GMT	https://nekima.nationbuilder.com/caucus	nekima.nationbuilder.com/caucus	(from https://nekima.nationbuilder.com/)
15:41:11	8161/8161	U--M-Z	200	updated ('OK')	text/css	etag:W/%223deb37375db0a83b4aeda6162bb2e069-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/magnific-popup.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/magnific-popup.css	(from https://nekima.nationbuilder.com/)
15:41:11	29672/29672	U--M-Z	200	updated ('OK')	text/css	etag:W/%22b8ef535cb6c5a7072d144c7f30b7f4ee-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/font-awesome.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/font-awesome.css	(from https://nekima.nationbuilder.com/)
15:41:11	7091/7091	U--M-Z	200	updated ('OK')	text/css	etag:W/%22dae5700b65eb0233a710e75ff776788e-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/streamline-icons.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/streamline-icons.css	(from https://nekima.nationbuilder.com/)
15:41:11	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:11%20GMT	https://nekima.nationbuilder.com/join	nekima.nationbuilder.com/join.10.delayed	(from https://nekima.nationbuilder.com/)
15:41:12	0/-1	---M--	302	error ('')			https://nekima.nationbuilder.com/join	nekima.nationbuilder.com/join.11.delayed	(from https://nekima.nationbuilder.com/)
15:41:12	38576/38576	U--M-Z	200	updated ('OK')	text/css	etag:W/%22a0488a4fd09a9425e0514c396e6c1fc2-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/event.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/event.css	(from https://nekima.nationbuilder.com/)
15:41:12	9383/9383	U--M-Z	200	updated ('OK')	text/css	etag:W/%222f175a588dca610129a14913eca6f684-gzip%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/green.css	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/green.css	(from https://nekima.nationbuilder.com/)
15:41:12	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:12%20GMT	https://nekima.nationbuilder.com/volunteer	nekima.nationbuilder.com/volunteer	(from https://nekima.nationbuilder.com/)
15:41:12	15055/15055	U--M-Z	200	updated ('OK')	text/javascript	etag:W/%22cc84952ce7cfe0067c1e167ead99bddf%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/modernizr.min.js	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/modernizr.min.js	(from https://nekima.nationbuilder.com/)
15:41:12	27125/27125	U--M-Z	200	updated ('OK')	text/javascript	etag:W/%2266a94ed1f56dfe424126e7c13277676c%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/pace.js	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/pace.js	(from https://nekima.nationbuilder.com/)
15:41:12	12972/12972	U--M-Z	200	updated ('OK')	text/javascript	etag:W/%2296f1e6bd9d9d042789d9b8f297e1ffe8%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/jquery.ui.effect.min.js	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/jquery.ui.effect.min.js	(from https://nekima.nationbuilder.com/)
15:41:13	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:13%20GMT	https://nekima.nationbuilder.com/spread_the_word	nekima.nationbuilder.com/spread_the_word	(from https://nekima.nationbuilder.com/)
15:41:13	774/774	U--M-Z	200	updated ('OK')	text/javascript	etag:W/%2266bbb2f50ed3e02600c28fc7c859b05e%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/jquery.ui.effect-slide.min.js	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/jquery.ui.effect-slide.min.js	(from https://nekima.nationbuilder.com/)
15:41:13	9172/9172	U--M-Z	200	updated ('OK')	text/javascript	etag:W/%22c20b2431bb58fa4a7d6f339dca7b96c4%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/staged-donations.js	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/staged-donations.js	(from https://nekima.nationbuilder.com/)
15:41:13	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:13%20GMT	https://nekima.nationbuilder.com/calendar	nekima.nationbuilder.com/calendar	(from https://nekima.nationbuilder.com/)
15:41:14	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:14%20GMT	https://nekima.nationbuilder.com/contact_us	nekima.nationbuilder.com/contact_us	(from https://nekima.nationbuilder.com/)
15:41:14	272/272	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:14%20GMT	https://nekima.nationbuilder.com/users/facebook/connect?page_id=7&scope=public_profile%2Cemail	nekima.nationbuilder.com/users/facebook/connectb70a	(from https://nekima.nationbuilder.com/)
15:41:14	41953/41953	U--M-Z	200	updated ('OK')	text/html	etag:W/%22556e5a1dfb9e6b2729cdb2985e90ca33-gzip%22	https://nekima.nationbuilder.com/donate	nekima.nationbuilder.com/donate.html	(from https://nekima.nationbuilder.com/)
15:41:15	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:15%20GMT	https://nekima.nationbuilder.com/volunteer	nekima.nationbuilder.com/volunteer	(from https://nekima.nationbuilder.com/)
15:41:15	0/0	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2022%20Jan%202017%2015:41:15%20GMT	https://nekima.nationbuilder.com/caucus	nekima.nationbuilder.com/caucus	(from https://nekima.nationbuilder.com/)
15:41:16	14776/14776	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Jan%202017%2015:41:16%20GMT	https://nekima.nationbuilder.com/kcharrison1	nekima.nationbuilder.com/kcharrison1	(from https://nekima.nationbuilder.com/)
15:41:16	212/212	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Jan%202017%2015:41:16%20GMT	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/glyphicons-halflings-regular.eot	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/glyphicons-halflings-regular.eot	(from https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/bootstrap.min.css)
15:41:17	66611/66611	U--M-Z	200	updated ('OK')	text/javascript	etag:W/%220ace8bccac36aa8885f132e1a78434cb%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/bootstrap.js	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/bootstrap.js	(from https://nekima.nationbuilder.com/)
15:41:17	23468/23468	U-----	200	untouched ('')	eot	etag:%225468f7114a7c0%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/responsive.eot	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/responsive.eot	(from https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/theme.scss)
15:41:17	23468/23468	U-----	200	untouched ('')	eot	etag:%225468f7114a7c0%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/responsive.eot?	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/responsived41d.eot	(from https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/theme.scss)
15:41:17	12708/12708	U-----	200	untouched ('')	woff	etag:%225468f7114a7c0%22	https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/responsive.woff	nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/responsive.woff	(from https://nekima.nationbuilder.com/themes/1/58547d9175dd2f4a31000000/0/attachments/14819324461484231463/default/theme.scss)
